@relation tweets

@attribute first_person numeric
@attribute second_person numeric
@attribute third_person numeric
@attribute coord_conj numeric
@attribute past_tense numeric
@attribute future_tense numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverbs numeric
@attribute wh_words numeric
@attribute slang numeric
@attribute all_uppercase numeric
@attribute avg_sentence_length numeric
@attribute avg_token_length numeric
@attribute num_sentences numeric
@attribute sentiment {0, 4}

@data
0,0,2,0,0,0,0,0,0,0,0,2,2,1,0,0,0,14,3,1,0
1,0,1,0,0,0,0,2,0,0,1,6,1,1,0,0,0,6,3,3,0
0,0,1,1,1,0,1,0,1,0,0,6,1,5,0,0,1,24,4,1,0
1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,4,3,2,0
1,0,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,5,4,2,0
1,0,2,2,1,0,0,0,0,0,0,5,1,3,1,1,0,11,4,2,0
2,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,11,4,1,0
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,6,6,1,0
1,0,0,0,1,0,1,0,0,0,0,3,1,2,0,0,0,14,5,1,0
2,0,3,3,3,0,0,0,0,0,0,4,0,1,2,0,0,28,4,1,0
1,0,0,1,0,0,0,0,0,0,3,6,1,0,0,0,0,7,3,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,1,0
1,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,16,5,1,0
2,0,1,0,2,0,1,0,0,0,0,6,0,3,0,1,0,23,4,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,8,1,0
3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,6,4,1,0
1,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,18,4,1,0
0,0,1,0,1,0,2,1,0,0,1,8,0,0,0,0,0,9,4,2,0
1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,7,4,1,0
0,0,2,0,0,0,1,0,0,0,0,6,0,3,0,0,0,22,4,1,0
0,0,0,0,0,2,1,0,0,0,0,6,0,0,0,0,1,14,4,1,0
1,0,1,0,1,0,0,0,0,0,0,6,1,1,1,0,0,7,4,3,0
1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,13,4,1,0
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7,4,1,0
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,2,0
0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5,4,2,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,4,1,0
0,0,0,1,0,0,0,0,0,0,2,5,3,2,0,0,0,5,4,5,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0
1,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,10,4,1,0
0,0,0,0,2,1,0,0,0,0,1,2,0,1,0,1,0,11,5,1,0
0,1,0,1,2,0,0,0,0,0,0,3,0,2,0,1,0,14,4,1,0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,1,0
0,0,0,0,2,0,0,0,0,0,0,5,0,1,0,0,0,13,4,2,0
1,0,1,0,0,0,2,1,0,0,2,10,0,2,0,0,0,11,4,2,0
1,2,1,2,1,0,0,0,0,0,0,9,0,1,0,0,0,13,4,2,0
1,1,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,9,5,2,0
